# BUSCO version is: 3.0.0 
# The lineage dataset is: protists_ensembl (Creation date: 2016-11-15, number of species: 33, number of BUSCOs: 215)
# To reproduce this run: python /software/applications/busco/3.0.0/scripts/run_BUSCO.py -i /storage/home/users/dro/PipelineAnalyses/Nu_Nu_Analysis/CompanionDownloads/sks048/proteins.fasta -o sks048 -l /storage/home/users/dro/Tools/augustusConfig/protists_ensembl/ -m proteins -c 32 --long -z
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000000134	Complete	PKCLINC048_070028100.1	164.7	150
EPrGT00050000000311	Complete	PKCLINC048_070027700.1	319.7	402
EPrGT00050000000320	Complete	PKCLINC048_100015300.1	230.6	145
EPrGT00050000000367	Complete	PKCLINC048_110007400.1	367.5	527
EPrGT00050000000386	Complete	PKCLINC048_070013200.1	745.7	846
EPrGT00050000000428	Complete	PKCLINC048_070017200.1	210.2	266
EPrGT00050000000439	Missing
EPrGT00050000000453	Complete	PKCLINC048_130033700.1	643.2	694
EPrGT00050000000506	Missing
EPrGT00050000000516	Missing
EPrGT00050000000547	Missing
EPrGT00050000000567	Missing
EPrGT00050000000570	Complete	PKCLINC048_130010600.1	467.0	658
EPrGT00050000000590	Missing
EPrGT00050000000597	Complete	PKCLINC048_120037800.1	317.5	249
EPrGT00050000000633	Complete	PKCLINC048_110045400.1	220.3	517
EPrGT00050000000638	Missing
EPrGT00050000000648	Complete	PKCLINC048_130007200.1	614.6	648
EPrGT00050000000656	Complete	PKCLINC048_010021200.1	178.5	237
EPrGT00050000000676	Complete	PKCLINC048_080010000.1	122.0	96
EPrGT00050000000764	Complete	PKCLINC048_140060200.1	193.8	175
EPrGT00050000000788	Missing
EPrGT00050000000790	Complete	PKCLINC048_100011700.1	175.2	232
EPrGT00050000000820	Missing
EPrGT00050000000821	Missing
EPrGT00050000000845	Complete	PKCLINC048_110006500.1	160.8	144
EPrGT00050000000974	Complete	PKCLINC048_110015700.1	302.0	328
EPrGT00050000000978	Complete	PKCLINC048_090028500.1	586.1	451
EPrGT00050000001072	Complete	PKCLINC048_090012700.1	968.3	807
EPrGT00050000001214	Complete	PKCLINC048_040007000.1	198.5	306
EPrGT00050000001261	Complete	PKCLINC048_140046500.1	240.2	191
EPrGT00050000001321	Complete	PKCLINC048_060024400.1	540.2	591
EPrGT00050000001331	Complete	PKCLINC048_110018300.1	308.1	317
EPrGT00050000001346	Complete	PKCLINC048_130060300.1	207.5	226
EPrGT00050000001368	Complete	PKCLINC048_140015700.1	421.9	537
EPrGT00050000001406	Complete	PKCLINC048_130011300.1	480.4	425
EPrGT00050000001412	Complete	PKCLINC048_030008800.1	3436.0	1959
EPrGT00050000001435	Complete	PKCLINC048_120020000.1	878.5	739
EPrGT00050000001604	Complete	PKCLINC048_120013900.1	116.2	121
EPrGT00050000001796	Complete	PKCLINC048_080016700.1	205.3	249
EPrGT00050000001854	Complete	PKCLINC048_130008000.1	212.3	219
EPrGT00050000001855	Complete	PKCLINC048_100010600.1	294.4	340
EPrGT00050000001885	Complete	PKCLINC048_130051700.1	239.4	240
EPrGT00050000001927	Missing
EPrGT00050000001937	Complete	PKCLINC048_040011500.1	415.9	505
EPrGT00050000002100	Complete	PKCLINC048_110017500.1	118.3	103
EPrGT00050000002128	Complete	PKCLINC048_110024500.1	1361.8	1375
EPrGT00050000002142	Complete	PKCLINC048_110031700.1	172.1	162
EPrGT00050000002199	Missing
EPrGT00050000002214	Missing
EPrGT00050000002346	Complete	PKCLINC048_140007200.1	182.9	215
EPrGT00050000002389	Complete	PKCLINC048_140027800.1	140.7	258
EPrGT00050000002467	Missing
EPrGT00050000002494	Missing
EPrGT00050000002505	Complete	PKCLINC048_050017300.1	423.3	265
EPrGT00050000002533	Missing
EPrGT00050000002690	Complete	PKCLINC048_080041400.1	269.9	312
EPrGT00050000002851	Complete	PKCLINC048_140051000.1	249.0	298
EPrGT00050000002854	Complete	PKCLINC048_030012500.1	492.6	380
EPrGT00050000002860	Complete	PKCLINC048_020011000.1	340.4	337
